Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.0013088,-0.0021597,0.057384,0,0,0,3.1484,0.0061326,-5.3318E-07,5.6918E-06,0.011662,1.8421E-05,0.012462,0,0,0,0,0,0,package://dog/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/body_link.STL,,狗地板-1;狗身打印件-2;狗身打印件-4;狗身2（急停）-1;狗身板-1;狗身2-3;狗身打印件-3;狗身打印件（急停）-2;急停开关-1;狗身2-1;狗身板-2;狗身2-4;狗身加强打印件-5;狗身加强打印件-7;狗身加强打印件-8;狗身加强打印件-6;支撑-2;GO-M8010电机-4;GO-M8010电机-3;狗腿电机固定1-1;陀螺仪固定-1;GO-M8010电机-2;狗腿电机固定-3;支撑-1;GO-M8010电机-1;狗身加强打印件-2;狗身加强打印件-1;狗腿电机固定1-2;狗身加强打印件-3;狗身加强打印件-4;狗腿电机固定-4,基坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_link1,0.000862325682570789,0.00882262491235053,0.04442250232731,0,0,0,0.305258520873073,0.000136239011806525,-2.51732864990689E-08,-6.31319135719973E-06,0.00029453912821953,2.39049974849768E-08,0.000186109186002405,0,0,0,0,0,0,package://dog/meshes/lf_link1.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/lf_link1.STL,,GO-M8010电机-5;跨-1,左前腿关节1坐标系,左前腿关节1旋转轴,lf_joint1,revolute,0.191599999999968,0.0699866617468943,0.0619994644116205,0,1.5707963267949,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
lf_link2,-0.0263700269985474,-0.0584940440630165,0.0509564541348319,0,0,0,0.687935232941792,0.00178208896411512,-0.000556642115046336,-7.03619351421219E-09,0.000522655094711767,-8.44794822051613E-08,0.00227863416113596,0,0,0,0,0,0,package://dog/meshes/lf_link2.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/lf_link2.STL,,大腿电机安装-1;垫块儿-1;M3-40+6-1;M3-40+6-2;GO-M8010电机-6;大腿内侧-1;M3-40+6-6;M3-40+6-3;M3-40+6-4;M3-40+6-5;3-玻纤垫片-2;凸轮1-2;5-15-4推力滚针轴承-4;连杆-2;大腿外侧-1;打印件-1;2mm-鸦片-2;法兰轴承25-37-7-2;2mm-鸦片-1;法兰轴承25-37-7-1,左前腿关节2坐标系,左前腿关节2旋转轴,lf_joint2,revolute,0,0.0293132256966799,0.060013338253096,1.5707963267949,0,3.14159265358979,lf_link1,0,0,-1,0,0,0,0,,,,,,,,
lf_link3,-0.0639931377508041,-0.0957124261278513,-0.0232451722203955,0,0,0,0.0715412570113013,0.000276061456342278,-0.000179786724161821,-6.11725236843034E-19,0.000127365427214224,-9.11173532019099E-19,0.000403009789814217,0,0,0,0,0,0,package://dog/meshes/lf_link3.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/lf_link3.STL,,小腿带轮-2;轮足安装-2,左前腿关节3坐标系,左前腿关节3旋转轴,lf_joint3,revolute,-0.093817,-0.21001,0.0935,0,0,-1.5708,lf_link2,0,0,-1,0,0,0,0,,,,,,,,
lf_link4,-0.00282033056649453,-0.00146724676504983,-0.0137203038152378,0,0,0,0.392667576355364,0.000427673337240443,-3.4623320108952E-11,-1.51262177134481E-09,0.000427672817627275,-2.32025797443513E-08,0.000777284873782633,0,0,0,0,0,0,package://dog/meshes/lf_link4.STL,0.941176470588235,0.674509803921569,0.117647058823529,1,0,0,0,0,0,0,package://dog/meshes/lf_link4.STL,,电机-轮-2/6215_轮毂电机3d模型20230511-1;电机-轮-2/5x2实心轮胎-1;电机-轮-2/轮毂打印件-下盖片-1;电机-轮-2/轮毂打印件-上盖片-1;电机-轮-2/杯头螺丝-m3_40-2;电机-轮-2/杯头螺丝-m3_40-3;电机-轮-2/杯头螺丝-m3_40-4;电机-轮-2/杯头螺丝-m3_40-5;电机-轮-2/杯头螺丝-m3_40-6;电机-轮-2/杯头螺丝-m3_40-1;电机-轮-2/沉头螺丝-m3_10-6;电机-轮-2/沉头螺丝-m3_10-5;电机-轮-2/沉头螺丝-m3_10-4;电机-轮-2/沉头螺丝-m3_10-3;电机-轮-2/沉头螺丝-m3_10-2;电机-轮-2/沉头螺丝-m3_10-1;电机-轮-2/轮毂打印垫片-1,左前腿关节4坐标系,左前腿关节4旋转轴,lf_joint4,continuous,-0.122237359979855,-0.185579634525742,0.0279999999999998,0,0,0,lf_link3,0,0,-1,,,,,,,,,,,,
lb_link1,-0.000925123690143026,-0.00878237479301749,0.0445470021451265,0,0,0,0.305258513351168,0.000136281253269725,2.58521394761107E-06,6.31297933943908E-06,0.000294496916566844,-6.47399089818216E-08,0.000186109185435469,0,0,0,0,0,0,package://dog/meshes/lb_link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://dog/meshes/lb_link1.STL,,跨-3;GO-M8010电机-9,左后腿关节1坐标系,左后腿关节1旋转轴,lb_joint1,revolute,-0.191600000000032,0.0700132256966699,0.0619991926788507,3.14159265358979,1.5707963267949,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
lb_link2,-0.0549975153631313,-0.028534728539954,0.0506213295606371,0,0,0,0.682338727402138,0.000759448259719027,-0.000744809815938719,-4.32940310863644E-08,0.00154172978099389,1.37380093413613E-08,0.0022750793984783,0,0,0,0,0,0,package://dog/meshes/lb_link2.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/lb_link2.STL,,垫块儿-3;大腿电机安装-3;GO-M8010电机-11;大腿内侧-3;大腿外侧-4;M3-40+6-10;M3-40+6-11;M3-40+6-9;M3-40+6-8;M3-40+6-13;M3-40+6-12;2mm-鸦片-7;法兰轴承25-37-7-8;2mm-鸦片-6;法兰轴承25-37-7-7;凸轮1-6;连杆-5;5-15-4推力滚针轴承-13;3-玻纤垫片-5,左后腿关节2坐标系,左后腿关节2旋转轴,lb_joint2,revolute,-0.000473865368497223,-0.0292829552273839,0.0599867742981585,-1.5707963267949,0,3.12541907549099,lb_link1,0,0,-1,0,0,0,0,,,,,,,,
lb_link3,0.112998107353973,2.21156426505331E-13,-0.0233570602524561,0,0,0,0.127541149243291,1.2488110467128E-05,2.88287240081527E-16,-9.8973740810628E-20,0.000516959786484769,-5.30360731278916E-22,0.000528884581268784,0,0,0,0,0,0,package://dog/meshes/lb_link3.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/lb_link3.STL,,2mm-小腿-5;2mm-小腿-3;小腿垫块-3;小腿垫块-5;小腿带轮-4;轮足安装-4,左后腿关节3坐标系,左后腿关节3旋转轴,lb_joint3,revolute,-0.203351876537887,-0.10747338576928,0.0935000000000002,0,0,2.90766742618988,lb_link2,0,0,-1,0,0,0,0,,,,,,,,
lb_link4,-0.154488063465412,-0.154124350836979,-0.45315226997479,0,0,0,0.433967634660258,0.0004609219758805,-1.28455739356663E-09,1.6855198863432E-08,0.00046230828623674,-2.2867721165856E-05,0.00083814137105422,0,0,0,0,0,0,package://dog/meshes/lb_link4.STL,0.941176470588235,0.674509803921569,0.117647058823529,1,0,0,0,0,0,0,package://dog/meshes/lb_link4.STL,,电机-轮-4/6215_轮毂电机3d模型20230511-1;电机-轮-4/5x2实心轮胎-1;电机-轮-4/m3螺母-4;电机-轮-4/杯头螺丝-m3_40-4;电机-轮-4/杯头螺丝-m3_40-2;电机-轮-4/m3螺母-6;电机-轮-4/m3螺母-3;电机-轮-4/杯头螺丝-m3_40-5;电机-轮-4/杯头螺丝-m3_40-1;电机-轮-4/m3螺母-1;电机-轮-4/杯头螺丝-m3_40-3;电机-轮-4/m3螺母-5;电机-轮-4/轮毂打印件-下盖片-1;电机-轮-4/轮毂打印件-上盖片-1;电机-轮-4/沉头螺丝-m3_10-4;电机-轮-4/沉头螺丝-m3_10-5;电机-轮-4/沉头螺丝-m3_10-6;电机-轮-4/沉头螺丝-m3_10-1;电机-轮-4/沉头螺丝-m3_10-2;电机-轮-4/沉头螺丝-m3_10-3;电机-轮-4/轮毂打印垫片-1;电机-轮-4/轮毂打印件-内圈-1;电机-轮-4/杯头螺丝-m3_40-6;电机-轮-4/m3螺母-2,右后腿关节4坐标系,左后腿关节4旋转轴,lb_joint4,continuous,0.0844672765357189,-0.192299044270706,-0.428612988849078,3.08100277647518,0,-1.33687109939488,lb_link3,0,-0.0605528116672081,0.998164994877698,,,,,,,,,,,,
rf_link1,-0.000782753636641501,-0.00879617351706161,0.0445470017446513,0,0,0,0.305258520879218,0.000136239016447643,2.53952144735986E-08,6.3132157394484E-06,0.000294539128219851,3.73658658400532E-08,0.000186109181361629,0,0,0,0,0,0,package://dog/meshes/rf_link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://dog/meshes/rf_link1.STL,,跨-2;GO-M8010电机-7,右前腿关节1坐标系,右前腿关节1旋转轴,rf_joint1,revolute,0.1916,-0.070013,0.061999,0,1.5708,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
